Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Category
20-02-1992,24.0,33.6,28.6,71.0,7.1,8.0,5.0,260.0,2.0,W ,Rain
21-02-1992,24.0,30.1,26.2,85.0,12.5,4.0,8.0,260.0,2.0,W ,Rain
22-02-1992,22.0,32.9,27.9,73.0,7.9,0.7,6.0,290.0,2.0,SW,Rain
23-02-1992,23.0,32.2,26.7,76.0,28.0,0.0,5.0,260.0,3.0,W ,Rain
24-02-1992,22.0,29.6,26.6,80.0,10.1,2.3,4.0,360.0,3.0,W ,Rain
25-02-1992,23.0,29.8,25.7,86.0,34.9,0.0,3.0,300.0,2.0,NW,Rain
26-02-1992,24.0,28.6,27.0,84.0,14.8,0.5,5.0,20.0,2.0,N ,Rain
27-02-1992,24.0,30.2,26.6,87.0,27.7,0.0,3.0,350.0,0.0,NW,Rain
28-02-1992,25.0,29.0,26.5,85.0,6.0,0.0,4.0,210.0,0.0,SW,Rain
29-02-1992,26.0,32.9,27.8,78.0,32.6,0.0,5.0,280.0,2.0,W ,Rain
01-03-1992,24.0,32.8,27.9,74.0,0.0,1.0,4.0,250.0,1.0,W ,Sun
02-03-1992,24.0,32.7,28.0,76.0,0.0,2.7,4.0,270.0,2.0,W ,Sun
03-03-1992,25.0,30.6,27.5,78.0,25.2,3.3,5.0,360.0,2.0,N ,Rain
04-03-1992,25.0,31.9,28.8,75.0,0.0,6.0,5.0,360.0,2.0,N ,Sun
05-03-1992,27.0,30.2,27.9,78.0,0.7,4.1,4.0,270.0,1.0,SW,Sun
06-03-1992,24.0,32.1,28.9,73.0,38.1,3.0,5.0,260.0,2.0,SW,Rain
07-03-1992,24.0,30.0,26.8,82.0,0.0,8.0,4.0,350.0,1.0,N ,Sun
08-03-1992,25.0,31.2,27.1,80.0,0.0,4.3,4.0,310.0,3.0,W ,Sun
09-03-1992,24.0,30.8,26.9,79.0,6.8,3.7,6.0,340.0,2.0,W ,Rain
10-03-1992,24.0,29.7,26.3,85.0,16.3,7.0,3.0,340.0,1.0,N ,Rain
11-03-1992,25.0,28.6,26.3,79.0,9.3,1.8,5.0,310.0,2.0,W ,Rain
12-03-1992,23.0,32.4,28.5,72.0,1.0,3.0,4.0,330.0,2.0,W ,Drizzle
13-03-1992,24.0,30.2,26.3,80.0,0.2,2.5,4.0,270.0,1.0,W ,Sun
14-03-1992,24.0,31.5,26.9,80.0,15.8,2.7,4.0,290.0,2.0,W ,Rain
15-03-1992,24.0,30.8,27.2,73.0,67.9,1.2,4.0,250.0,1.0,W ,Rain
16-03-1992,23.0,31.2,26.5,81.0,8888.0,0.0,4.0,270.0,0.0,W ,Rain
17-03-1992,25.0,31.9,27.4,79.0,0.0,3.3,4.0,270.0,2.0,N ,Sun
18-03-1992,26.0,30.2,27.3,78.0,0.0,4.5,3.0,340.0,0.0,N ,Sun
19-03-1992,25.0,32.8,29.0,76.0,0.1,2.0,6.0,290.0,3.0,W ,Sun
20-03-1992,25.0,32.4,27.2,77.0,0.0,8.0,5.0,350.0,2.0,N ,Sun
21-03-1992,25.0,33.4,27.6,80.0,3.4,6.0,5.0,350.0,3.0,N ,Drizzle
22-03-1992,25.0,30.4,27.3,82.0,0.0,4.2,5.0,20.0,1.0,N ,Sun
23-03-1992,24.0,33.4,28.8,73.0,0.0,3.5,5.0,360.0,2.0,N ,Sun
24-03-1992,25.0,32.4,28.4,78.0,7.1,8.0,7.0,20.0,1.0,N ,Rain
25-03-1992,25.0,34.1,28.3,75.0,3.1,2.5,6.0,340.0,2.0,N ,Drizzle
26-03-1992,26.0,33.4,28.5,77.0,0.0,8.0,6.0,30.0,3.0,N ,Sun
27-03-1992,26.0,33.2,28.2,76.0,0.0,2.5,5.0,120.0,2.0,N ,Sun
28-03-1992,26.0,33.0,29.6,68.0,0.0,7.1,5.0,80.0,2.0,N ,Sun
29-03-1992,26.0,32.6,28.4,74.0,0.0,6.0,6.0,50.0,2.0,SW,Sun
30-03-1992,25.0,32.2,28.4,72.0,10.6,5.5,4.0,10.0,2.0,SW,Rain
31-03-1992,25.0,31.2,27.6,80.0,1.4,2.3,4.0,30.0,1.0,N ,Drizzle
01-04-1992,25.0,32.7,28.1,73.0,0.0,0.9,3.0,20.0,2.0,N ,Sun
02-04-1992,24.0,34.2,28.7,74.0,13.2,5.3,5.0,30.0,3.0,N ,Rain
03-04-1992,24.0,32.4,26.4,84.0,8888.0,5.3,4.0,310.0,2.0,N ,Rain
04-04-1992,24.0,31.2,27.2,78.0,1.9,1.1,5.0,340.0,3.0,W ,Drizzle
05-04-1992,24.0,33.8,28.0,74.0,0.0,2.5,5.0,340.0,3.0,NW,Sun
06-04-1992,24.0,34.2,28.2,75.0,0.0,8.0,4.0,270.0,2.0,W ,Sun
07-04-1992,25.0,33.4,28.8,72.0,0.0,6.8,6.0,360.0,2.0,N ,Sun
08-04-1992,25.0,33.6,28.5,72.0,0.0,4.7,5.0,120.0,2.0,W ,Sun
09-04-1992,26.0,33.7,29.6,74.0,1.2,1.3,6.0,290.0,3.0,W ,Drizzle
10-04-1992,25.0,34.0,28.8,68.0,0.0,5.0,6.0,250.0,2.0,W ,Sun
11-04-1992,24.0,34.6,28.2,77.0,20.3,4.0,5.0,350.0,2.0,N ,Rain
12-04-1992,25.0,32.8,27.5,75.0,2.7,6.7,4.0,330.0,2.0,N ,Drizzle
13-04-1992,25.0,32.7,27.7,79.0,0.3,4.8,4.0,320.0,2.0,NW,Sun
14-04-1992,25.0,33.2,26.5,85.0,10.8,4.1,5.0,70.0,1.0,SW,Rain
15-04-1992,24.0,33.1,27.3,82.0,35.0,2.7,5.0,340.0,2.0,N ,Rain
16-04-1992,24.0,31.4,26.3,84.0,8888.0,1.5,5.0,340.0,2.0,N ,Rain
17-04-1992,25.0,31.7,27.7,81.0,0.0,3.3,4.0,20.0,2.0,N ,Sun
18-04-1992,25.0,33.4,28.3,76.0,0.5,4.3,4.0,360.0,2.0,N ,Sun
19-04-1992,25.0,33.2,29.3,73.0,0.0,8.0,5.0,30.0,2.0,N ,Sun
20-04-1992,25.0,32.9,29.1,70.0,10.1,8.0,5.0,50.0,1.0,E ,Rain
21-04-1992,24.0,32.9,28.2,80.0,23.6,6.1,4.0,160.0,2.0,SE,Rain
22-04-1992,24.0,33.6,27.5,81.0,0.0,2.5,5.0,30.0,2.0,N ,Sun
23-04-1992,25.0,30.4,28.2,84.0,39.9,4.0,4.0,90.0,1.0,E ,Rain
24-04-1992,24.0,31.9,28.4,76.0,0.0,2.3,5.0,20.0,1.0,NE,Sun
25-04-1992,25.0,30.9,27.7,78.0,8888.0,0.8,5.0,250.0,1.0,E ,Rain
26-04-1992,25.0,32.3,28.3,73.0,0.0,1.4,3.0,40.0,2.0,E ,Sun
27-04-1992,25.0,29.3,26.7,85.0,4.9,4.8,5.0,80.0,1.0,E ,Drizzle
28-04-1992,25.0,33.1,28.4,74.0,21.5,4.8,6.0,320.0,2.0,NE,Rain
29-04-1992,25.0,32.8,27.5,80.0,0.0,1.1,6.0,110.0,2.0,E ,Sun
30-04-1992,25.0,32.8,28.5,75.0,0.8,0.7,6.0,360.0,3.0,E ,Sun
01-05-1992,26.0,33.2,29.0,76.0,0.0,5.3,5.0,70.0,2.0,E ,Sun
02-05-1992,25.0,33.4,29.2,73.0,8888.0,6.0,5.0,80.0,2.0,NE,Rain
03-05-1992,25.0,33.1,28.4,75.0,0.0,5.8,4.0,70.0,2.0,E ,Sun
04-05-1992,24.0,33.8,29.4,68.0,21.1,4.1,6.0,90.0,2.0,E ,Rain
05-05-1992,25.0,33.9,29.1,78.0,0.3,7.1,5.0,70.0,2.0,E ,Sun
06-05-1992,25.0,32.4,27.9,81.0,0.0,7.5,5.0,340.0,2.0,N ,Sun
07-05-1992,25.0,31.4,27.9,79.0,0.0,2.0,3.0,90.0,2.0,E ,Sun
08-05-1992,24.0,32.8,27.2,84.0,19.0,0.0,4.0,10.0,2.0,N ,Rain
09-05-1992,24.0,30.2,27.2,80.0,0.0,2.3,5.0,350.0,2.0,N ,Sun
10-05-1992,24.0,33.1,28.2,76.0,50.9,0.0,5.0,120.0,2.0,N ,Rain
11-05-1992,24.0,31.9,27.0,84.0,2.8,6.1,3.0,110.0,0.0,N ,Drizzle
12-05-1992,25.0,30.8,27.7,77.0,0.0,0.0,5.0,20.0,2.0,E ,Sun
13-05-1992,24.0,32.6,28.9,72.0,0.0,5.0,5.0,340.0,2.0,N ,Sun
14-05-1992,24.0,31.5,27.3,84.0,30.3,1.0,5.0,80.0,2.0,N ,Rain
15-05-1992,23.0,31.2,25.8,89.0,17.8,2.7,5.0,290.0,2.0,W ,Rain
16-05-1992,26.0,32.0,28.3,57.0,0.0,0.0,4.0,60.0,1.0,N ,Sun
17-05-1992,24.0,32.7,28.6,74.0,0.0,4.5,4.0,20.0,2.0,N ,Sun
18-05-1992,23.0,33.2,28.3,75.0,0.0,4.5,4.0,70.0,1.0,E ,Sun
19-05-1992,26.0,32.9,28.6,74.0,0.0,5.7,5.0,20.0,2.0,N ,Sun
20-05-1992,26.0,33.8,28.7,75.0,0.0,6.5,5.0,110.0,2.0,E ,Sun
21-05-1992,26.0,33.6,28.5,75.0,0.0,5.0,4.0,30.0,2.0,E ,Sun
22-05-1992,25.0,31.2,27.1,83.0,1.8,6.7,5.0,80.0,2.0,SW,Drizzle
23-05-1992,26.0,31.8,28.5,74.0,0.0,0.0,3.0,70.0,1.0,E ,Sun
24-05-1992,25.0,32.7,29.3,69.0,0.0,7.0,4.0,40.0,2.0,N ,Sun
25-05-1992,25.0,32.8,28.5,73.0,0.0,0.0,4.0,80.0,2.0,E ,Sun
26-05-1992,24.0,31.8,27.7,80.0,44.9,4.5,6.0,120.0,2.0,S ,Rain
27-05-1992,24.0,32.8,27.5,80.0,0.0,2.0,4.0,350.0,2.0,N ,Sun
28-05-1992,25.0,32.1,27.8,78.0,0.0,5.5,3.0,20.0,2.0,N ,Sun
29-05-1992,25.0,32.8,28.2,78.0,0.0,3.8,4.0,60.0,1.0,N ,Sun
30-05-1992,25.0,32.4,28.0,80.0,60.0,3.3,3.0,50.0,1.0,E ,Rain
31-05-1992,25.0,32.8,28.9,76.0,6.4,5.5,3.0,350.0,2.0,E ,Rain
01-06-1992,25.0,31.8,,,8.6,3.4,,,1.0,N ,Rain
